City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,hammerfest,70.6634,23.6821,-0.75,74,75,3.09,NO,1700476095
244,callao,-12.0667,-77.15,19.84,82,100,0.51,PE,1700476255
245,faro,37.0194,-7.9322,18.88,77,0,2.57,PT,1700476258
246,sinan,34.8262,126.1086,8.06,55,0,5.24,KR,1700476260
247,huangnihe,43.5583,128.0239,-5.52,95,5,0.64,CN,1700476263
248,mpika,-11.8343,31.4529,32.66,23,88,4.85,ZM,1700476265
249,adrar,20.5022,-10.0711,28.59,11,100,4.94,MR,1700476267
250,birao,10.2849,22.7882,34.69,15,71,4.34,CF,1700476269
251,valparaiso,-33.0393,-71.6273,9.8,93,75,2.06,CL,1700476254
252,binghamton,42.0987,-75.918,-1.51,82,9,0.45,US,1700476038
253,pelabuhanratu,-6.9875,106.5514,27.33,81,83,1.93,ID,1700476274
254,newport,51.5877,-2.9984,12.12,86,22,5.43,GB,1700476277
255,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,98,0,8.0,RU,1700476278
256,aswan,24.0934,32.907,22.61,33,0,4.63,EG,1700476280
257,kingston,17.997,-76.7936,25.53,83,20,6.17,JM,1700476189
258,north platte,41.1239,-100.7654,8.4,85,100,4.63,US,1700476283
259,elliot lake,46.3834,-82.6331,-5.15,57,6,1.11,CA,1700476284
260,kavaratti,10.5669,72.642,28.91,68,32,1.86,IN,1700476286
261,brisas de zicatela,15.8369,-97.0419,25.58,86,55,1.56,MX,1700476288
262,yaren,-0.5472,166.916,28.55,75,27,2.07,NR,1700476289
263,east london,-33.0153,27.9116,24.57,74,100,8.43,ZA,1700476291
264,el hadjira,32.6134,5.5126,20.98,48,0,1.16,DZ,1700476293
265,dryden,49.7833,-92.7503,-0.84,86,0,4.63,CA,1700476294
266,snovsk,51.8239,31.9428,-0.4,66,99,4.97,UA,1700476296
267,darwha,20.3167,77.7667,29.64,36,8,3.31,IN,1700476297
268,the pas,53.8251,-101.2541,0.01,93,0,3.6,CA,1700476299
269,wotje,9.4543,170.2367,28.13,78,16,8.78,MH,1700476301
270,rabo de peixe,37.8,-25.5833,15.73,82,20,3.6,PT,1700476302
271,san antonio de pale,-1.4014,5.6325,24.31,94,100,4.0,GQ,1700476305
272,kapa'a,22.0752,-159.319,22.18,88,100,9.77,US,1700476306
273,badger,64.8,-147.5333,-10.07,79,100,0.0,US,1700476308
274,klyuchi,52.2667,79.1667,-5.41,67,17,3.3,RU,1700476309
275,hesla,24.0667,85.8833,25.21,46,1,2.32,IN,1700476311
276,kita,13.0349,-9.4895,34.03,13,100,4.43,ML,1700476312
277,yerofey pavlovich,53.9667,121.9667,-5.8,91,100,2.37,RU,1700476314
278,afaahiti,-17.75,-149.2833,23.93,92,100,9.59,PF,1700476315
279,mount gambier,-37.8333,140.7667,12.31,84,100,3.87,AU,1700476316
280,matoury,4.8483,-52.3317,24.98,100,75,1.03,GF,1700476318
281,watsa,3.0372,29.5355,23.1,88,89,1.29,CD,1700476320
282,goshainganj,26.5833,82.3833,26.75,35,0,2.66,IN,1700476321
283,pogradec,40.9025,20.6525,9.0,58,0,1.67,AL,1700476323
284,kijang,35.2442,129.2139,8.85,38,0,0.84,KR,1700476324
285,tsiombe,-25.3,45.4833,36.63,29,94,5.19,MG,1700476326
286,ormara,25.2088,64.6357,26.25,53,0,3.29,PK,1700476327
287,nampa,43.5407,-116.5635,1.66,80,0,3.6,US,1700476329
288,parkano,62.0167,23.0167,-4.75,93,94,0.79,FI,1700476331
289,fort st. john,56.2499,-120.8529,-7.06,68,40,3.6,CA,1700476332
290,loma de cabrera,19.4333,-71.6,22.59,95,96,0.39,DO,1700476334
291,itaituba,-4.2761,-55.9836,26.39,76,98,1.13,BR,1700476335
292,cardenas,23.0375,-81.2047,17.42,85,1,2.04,CU,1700476337
293,taroa,8.7058,171.2275,28.29,77,38,8.46,MH,1700476338
294,tynda,55.1667,124.7167,-7.33,91,100,1.26,RU,1700476341
295,general conesa,-40.1,-64.4333,20.0,35,46,8.95,AR,1700476345
296,saldanha,-33.0117,17.9442,21.03,76,100,11.17,ZA,1700476346
297,palikir - national government center,6.9248,158.1611,26.41,89,100,2.57,FM,1700476350
298,mikomeseng,2.1361,10.6132,27.34,68,100,0.42,GQ,1700476351
299,cadale,2.7603,46.3222,29.5,70,73,7.85,SO,1700476355
300,uryupinsk,50.8047,42.0138,-0.22,98,100,4.98,RU,1700476356
301,santa marta de ortigueira,43.6833,-7.85,15.7,76,100,3.88,ES,1700476357
302,juan griego,11.0817,-63.9655,25.7,90,100,4.2,VE,1700476359
303,ketchikan,55.3422,-131.6461,4.26,87,100,5.14,US,1700476361
304,tual,-5.6667,132.75,28.62,78,21,6.75,ID,1700476362
305,port elizabeth,-33.918,25.5701,26.29,71,0,4.63,ZA,1700476363
306,melilla,35.2937,-2.9383,19.21,72,75,3.09,ES,1700476365
307,al kharijah,25.4514,30.5464,22.11,31,0,5.11,EG,1700476366
308,lompoc,34.6391,-120.4579,13.23,57,0,3.6,US,1700476368
309,patacamaya,-17.2333,-67.9167,10.6,63,51,1.2,BO,1700476369
